Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,school_slug,season,scraped_at
1,1,2024-11-04,@,DePaul,REG (Non-Conf),L,78,80,OT,31,62,.500,6,14,.429,25,48,.521,.548,10,12,.833,7,28,35,9,4,3,14,16,29,64,.453,14,37,.378,15,27,.556,.563,8,22,.364,9,23,32,11,6,4,10,13,southern-indiana,2025,2025-12-27 22:59:27
2,2,2024-11-07,,Bucknell,REG (Non-Conf),L,69,75,OT,25,60,.417,8,23,.348,17,37,.459,.483,11,18,.611,4,21,25,9,12,3,10,23,23,57,.404,4,17,.235,19,40,.475,.439,25,34,.735,12,26,38,7,6,3,16,18,southern-indiana,2025,2025-12-27 22:59:27
3,3,2024-11-11,@,Marshall,REG (Non-Conf),L,63,77,,18,50,.360,3,10,.300,15,40,.375,.390,24,36,.667,10,22,32,2,6,3,17,32,21,46,.457,5,16,.313,16,30,.533,.511,30,50,.600,9,23,32,12,12,3,11,26,southern-indiana,2025,2025-12-27 22:59:27
4,4,2024-11-13,@,Bellarmine,REG (Non-Conf),W,71,69,,24,53,.453,6,14,.429,18,39,.462,.509,17,22,.773,5,21,26,12,8,2,12,15,25,54,.463,8,25,.320,17,29,.586,.537,11,14,.786,4,21,25,14,9,2,13,17,southern-indiana,2025,2025-12-27 22:59:27
5,5,2024-11-16,@,Purdue Fort Wayne,REG (Non-Conf),L,74,93,,25,54,.463,9,25,.360,16,29,.552,.546,15,16,.938,4,22,26,10,1,0,10,21,28,56,.500,13,28,.464,15,28,.536,.616,24,28,.857,7,23,30,13,5,4,8,13,southern-indiana,2025,2025-12-27 22:59:27
6,6,2024-11-22,,South Dakota,REG (Non-Conf),W,92,83,,36,68,.529,8,18,.444,28,50,.560,.588,12,16,.750,11,24,35,20,7,5,11,18,29,75,.387,8,28,.286,21,47,.447,.440,17,18,.944,17,21,38,10,7,3,10,17,southern-indiana,2025,2025-12-27 22:59:27
7,7,2024-11-25,,Indiana State,REG (Non-Conf),W,87,77,,30,61,.492,11,21,.524,19,40,.475,.582,16,23,.696,10,24,34,15,14,2,15,15,31,64,.484,7,27,.259,24,37,.649,.539,8,11,.727,12,22,34,13,13,1,19,17,southern-indiana,2025,2025-12-27 22:59:27
8,8,2024-12-02,,East-West,REG (Non-Conf),W,104,46,,40,77,.519,14,37,.378,26,40,.650,.610,10,15,.667,17,33,50,28,9,8,11,10,19,69,.275,2,20,.100,17,49,.347,.290,6,13,.462,13,18,31,8,5,3,16,15,southern-indiana,2025,2025-12-27 22:59:27
9,9,2024-12-07,@,Southern Illinois,REG (Non-Conf),L,70,73,,25,54,.463,5,9,.556,20,45,.444,.509,15,17,.882,7,17,24,14,9,2,9,16,27,56,.482,5,13,.385,22,43,.512,.527,14,19,.737,10,21,31,16,5,5,12,16,southern-indiana,2025,2025-12-27 22:59:27
10,10,2024-12-15,,Shawnee St,REG (Non-Conf),W,91,56,,35,68,.515,8,28,.286,27,40,.675,.574,13,22,.591,10,32,42,14,8,4,7,6,23,65,.354,7,29,.241,16,36,.444,.408,3,6,.500,6,20,26,10,5,2,11,19,southern-indiana,2025,2025-12-27 22:59:27
11,11,2024-12-19,,Tennessee State,REG (Conf),W,77,75,,24,60,.400,8,22,.364,16,38,.421,.467,21,31,.677,5,21,26,11,7,1,8,22,24,55,.436,6,22,.273,18,33,.545,.491,21,28,.750,13,31,44,9,5,3,18,23,southern-indiana,2025,2025-12-27 22:59:27
12,12,2024-12-21,,UT Martin,REG (Conf),L,46,77,,19,66,.288,4,28,.143,15,38,.395,.318,4,8,.500,14,23,37,9,7,1,9,8,28,60,.467,18,38,.474,10,22,.455,.617,3,5,.600,9,34,43,17,8,4,10,14,southern-indiana,2025,2025-12-27 22:59:27
13,13,2024-12-31,,Morehead State,REG (Conf),L,68,70,,24,56,.429,3,13,.231,21,43,.488,.455,17,25,.680,8,21,29,6,10,4,8,21,24,51,.471,5,9,.556,19,42,.452,.520,17,28,.607,12,26,38,10,6,2,12,21,southern-indiana,2025,2025-12-27 22:59:27
14,14,2025-01-02,@,Tennessee Tech,REG (Conf),L,64,68,,24,71,.338,6,25,.240,18,46,.391,.380,10,11,.909,11,27,38,12,14,2,11,12,27,65,.415,9,31,.290,18,34,.529,.485,5,8,.625,11,33,44,18,9,4,18,11,southern-indiana,2025,2025-12-27 22:59:27
15,15,2025-01-09,@,Southeast Missouri State,REG (Conf),L,66,77,,23,53,.434,3,14,.214,20,39,.513,.462,17,24,.708,6,24,30,7,4,0,12,20,22,55,.400,8,22,.364,14,33,.424,.473,25,32,.781,9,24,33,13,5,3,10,18,southern-indiana,2025,2025-12-27 22:59:27
16,16,2025-01-12,@,Little Rock,REG (Conf),L,58,78,,21,63,.333,9,31,.290,12,32,.375,.405,7,9,.778,12,17,29,13,5,3,14,17,28,51,.549,8,14,.571,20,37,.541,.627,14,22,.636,9,27,36,21,11,9,11,10,southern-indiana,2025,2025-12-27 22:59:27
17,17,2025-01-16,,Lindenwood,REG (Conf),W,80,73,,25,56,.446,7,17,.412,18,39,.462,.509,23,30,.767,10,29,39,8,6,4,14,20,25,57,.439,6,21,.286,19,36,.528,.491,17,26,.654,7,18,25,9,7,5,8,20,southern-indiana,2025,2025-12-27 22:59:27
18,18,2025-01-18,,Western Illinois,REG (Conf),W,78,66,,28,55,.509,9,18,.500,19,37,.514,.591,13,15,.867,10,22,32,9,1,6,9,11,26,62,.419,11,19,.579,15,43,.349,.508,3,6,.500,9,16,25,3,7,2,5,17,southern-indiana,2025,2025-12-27 22:59:27
19,19,2025-01-23,@,SIU Edwardsville,REG (Conf),L,76,82,,27,56,.482,7,17,.412,20,39,.513,.545,15,19,.789,6,28,34,11,3,0,12,26,28,59,.475,6,15,.400,22,44,.500,.525,20,27,.741,6,23,29,11,8,2,5,17,southern-indiana,2025,2025-12-27 22:59:27
20,20,2025-01-25,@,Eastern Illinois,REG (Conf),W,64,60,,21,50,.420,7,19,.368,14,31,.452,.490,15,24,.625,7,25,32,13,7,5,12,17,21,58,.362,7,20,.350,14,38,.368,.422,11,21,.524,14,21,35,13,10,2,10,25,southern-indiana,2025,2025-12-27 22:59:27
21,21,2025-01-28,@,Morehead State,REG (Conf),L,65,66,,25,60,.417,9,21,.429,16,39,.410,.492,6,9,.667,8,20,28,15,6,3,9,16,25,52,.481,5,14,.357,20,38,.526,.529,11,18,.611,7,23,30,14,6,3,8,13,southern-indiana,2025,2025-12-27 22:59:27
22,22,2025-02-01,,Tennessee Tech,REG (Conf),L,65,78,,25,67,.373,8,21,.381,17,46,.370,.433,7,12,.583,8,25,33,8,7,3,8,19,27,64,.422,9,25,.360,18,39,.462,.492,15,20,.750,14,32,46,12,6,2,10,11,southern-indiana,2025,2025-12-27 22:59:27
23,23,2025-02-06,,Little Rock,REG (Conf),L,56,74,,18,52,.346,5,23,.217,13,29,.448,.394,15,19,.789,11,18,29,13,6,0,14,14,27,55,.491,11,20,.550,16,35,.457,.591,9,10,.900,6,21,27,15,11,3,10,16,southern-indiana,2025,2025-12-27 22:59:27
24,24,2025-02-08,,Southeast Missouri State,REG (Conf),L,74,79,,27,56,.482,8,22,.364,19,34,.559,.554,12,15,.800,6,19,25,11,5,5,8,17,30,56,.536,5,14,.357,25,42,.595,.580,14,22,.636,8,23,31,8,6,2,9,15,southern-indiana,2025,2025-12-27 22:59:27
25,25,2025-02-13,@,Western Illinois,REG (Conf),L,62,87,,21,60,.350,7,20,.350,14,40,.350,.408,13,16,.813,9,20,29,7,4,2,9,16,34,60,.567,11,20,.550,23,40,.575,.658,8,13,.615,7,25,32,15,8,5,8,16,southern-indiana,2025,2025-12-27 22:59:27
26,26,2025-02-15,@,Lindenwood,REG (Conf),L,78,81,OT,30,71,.423,7,26,.269,23,45,.511,.472,11,16,.688,9,25,34,10,8,3,12,18,31,64,.484,4,18,.222,27,46,.587,.516,15,22,.682,10,26,36,13,5,3,16,15,southern-indiana,2025,2025-12-27 22:59:27
27,27,2025-02-20,,Eastern Illinois,REG (Conf),L,54,63,,20,50,.400,5,16,.313,15,34,.441,.450,9,15,.600,4,25,29,9,8,4,18,15,24,66,.364,6,20,.300,18,46,.391,.409,9,13,.692,13,25,38,10,12,2,14,16,southern-indiana,2025,2025-12-27 22:59:27
28,28,2025-02-22,,SIU Edwardsville,REG (Conf),W,82,68,,28,60,.467,7,15,.467,21,45,.467,.525,19,23,.826,9,30,39,12,6,2,10,21,23,60,.383,5,19,.263,18,41,.439,.425,17,27,.630,11,21,32,10,6,4,10,17,southern-indiana,2025,2025-12-27 22:59:27
29,29,2025-02-27,@,UT Martin,REG (Conf),L,63,79,,21,58,.362,11,28,.393,10,30,.333,.457,10,14,.714,8,21,29,14,7,6,9,11,30,69,.435,9,28,.321,21,41,.512,.500,10,17,.588,19,30,49,19,7,2,10,14,southern-indiana,2025,2025-12-27 22:59:27
30,30,2025-03-01,@,Tennessee State,REG (Conf),L,69,74,,26,64,.406,8,21,.381,18,43,.419,.469,9,10,.900,9,23,32,12,2,0,8,23,25,53,.472,7,20,.350,18,33,.545,.538,17,24,.708,7,25,32,10,7,3,10,15,southern-indiana,2025,2025-12-27 22:59:27
